Stock,Mean sentiment model on returns,Degree of Integration market model,Durbin Watson Statistic market model,Degree of Integration sentiment model,Durbin Watson Statistic sentiment model,Mean sentiment model on volatility,Degree of Integration market model,Degree of Integration sentiment model,Durbin Watson Statistic sentiment model,Degree of Integration sentiment model
A,0.0824622752624 (0.9204945458709414),0.0,2.1788046889428982,0.0,2.09775625661291,-0.128230294931 (0.7959385593155089),0.0,1.4956559275052699,0.0,1.802324068791712
AA,-0.186290737478 (0.7340187767533907),0.0,1.492058846595578,0.0,1.9806280014571755,-1.47519781698 (0.11945142113278392),1.0,2.1387807627193944,0.0,1.774277182489385
AAPL,0.576403782607 (0.47679836632142136),0.0,1.6929618825204564,0.0,1.961554812989978,-0.922306060436 (0.5592900879540169),0.0,1.4956357074931739,0.0,1.865371869530261
AIG,-1.31527124467 (0.7501690735791053),0.0,1.526282886580497,0.0,2.06570618749326,-0.845376947431 (0.37760900816766685),1.0,1.9093798497649817,0.0,1.647291861436181
AMD,-0.0651302558831 (0.9458748739193541),0.0,1.9744475842945746,0.0,2.0307644480129916,-0.969759083593 (0.05622946331652075),0.0,2.2873908637008546,0.0,1.9888012255918486
AMGN,1.7828030712 (0.18945876129747577),0.0,2.064004061504915,0.0,2.0926645565917212,0.044198379763 (0.9560311805183128),0.0,1.3301746031733677,0.0,1.8600606678306053
AMZN,2.03898453637 (0.7377224646371352),0.0,1.8004551279379324,0.0,2.0833469727786063,-0.952492780053 (0.1665748734761019),0.0,1.8965309492786462,0.0,1.9324388109653128
AXP,-0.625748106219 (0.25155229336132423),0.0,2.020646066899043,0.0,1.8888466410269444,-0.451165871127 (0.2261899328186469),0.0,1.6327017405030464,0.0,2.026317444280106
BA,1.38999095064 (0.1658677335095842),0.0,1.9425785075474953,0.0,1.9591368075764186,-0.50801370718 (0.2629844125559868),0.0,1.7580907115461137,0.0,1.9195657442687009
BAC,-0.948734007886 (0.3435296749928659),0.0,1.9366354434749777,0.0,1.8398682630079424,-0.347063690799 (0.38632932503654815),0.0,1.3319848388452369,0.0,2.1053473998351087
BBY,3.66083764598 (0.6850155797566482),0.0,1.3718737704892365,0.0,1.8698269134886516,-8.76134758889 (0.36319721769063384),0.0,1.9212188372977637,0.0,2.045695521952003
BIDU,-70.6016618085 (0.34356329525670226),0.0,1.731392577311357,0.0,1.9700697878166549,-0.120795723468 (0.6815578903797419),0.0,1.616657388193387,0.0,2.047047120618617
BIIB,-0.317559390706 (0.5632881185222163),0.0,2.389499571482922,0.0,2.355275008524888,-0.224945717249 (0.8714745547474074),0.0,1.7744125626765297,0.0,2.0185378426228073
BMY,0.968496277011 (0.4427123942595037),0.0,2.4888885437468966,0.0,2.0851252433567855,0.838876537334 (0.2238381121649731),0.0,2.1099824578732584,0.0,2.0470605840029674
BP,-0.352939569192 (0.7767470576219455),0.0,1.9285117585248777,0.0,2.004390235206502,-0.830400398613 (0.29257290961843974),1.0,2.19402122605671,0.0,1.842154000973516
BTU,-0.308112629112 (0.6284286322646604),0.0,1.9585206985164492,0.0,2.102387391622279,-0.398849554373 (0.2451813249469913),2.0,2.1563348176951314,0.0,2.1392625460430033
C,nan (nan),0.0,2.054745055380085,1.0,,-0.665898716075 (0.3631361488362991),1.0,2.099445244497693,0.0,1.4438799932885158
CAT,8.7452374086 (0.7602646534201161),0.0,1.8513694547601618,0.0,1.816613499556455,-2.41262073687 (0.09721068117940303),1.0,2.3559952264095547,0.0,1.7820076721704412
CELG,-3.51178174682 (0.14936672094145081),0.0,1.9386588950131949,0.0,1.778107612723331,0.542188777419 (0.5355204556439674),0.0,1.4277077812485133,0.0,1.8411520323165196
CF,-1.01981734916 (0.6277272035501154),0.0,1.6994189824171795,0.0,2.231238200653959,0.200136752183 (0.8477577809911377),0.0,2.1043901296437726,0.0,2.0951401812407475
CHK,-0.277937078455 (0.449759702637368),1.0,3.0235218909546013,0.0,2.3388268880766407,2.84039893805 (0.3419341234619063),1.0,2.7042031956047206,0.0,2.0226676527883978
CLF,0.990508602761 (0.48010933935723854),0.0,1.4359579615799067,0.0,1.7951766802670008,-1.95098155519 (0.3441540215213458),1.0,2.6276294565646054,0.0,2.2796383652355057
CMG,-0.543936491641 (0.8925404355506973),0.0,1.551024761370994,0.0,1.914890046360712,-0.653526646002 (0.5249415435155758),0.0,1.5368505754722068,0.0,1.7552527428280391
COP,2.43982222937 (0.18094219526158908),0.0,1.8848916812037373,0.0,1.967773696853292,2.9357723533 (0.2166876598708163),0.0,2.1097518525704864,0.0,1.929725348542846
COST,-0.537365674525 (0.7976692729836448),0.0,1.6174852520275556,0.0,1.856282592264755,-0.377441872096 (0.6548223740330013),0.0,2.157168058852288,0.0,1.9163200667250497
CRM,3.38333023049 (0.5185779025543776),0.0,2.680849139811159,0.0,2.1300963502142567,0.0753985646453 (0.8681421393982536),0.0,1.3776405147456017,0.0,1.9569500026607545
CSCO,-0.173417932422 (0.7282177690755374),0.0,2.216027249917016,0.0,2.192913714234317,-0.342439175247 (0.6516975190628369),0.0,1.991266593602264,0.0,1.7788503956825867
CVX,-1.05012792751 (0.5090401326091759),0.0,1.9873941665443835,0.0,1.9602014057949464,6.19489879849 (0.3537199812510442),1.0,2.4106150594265365,0.0,1.9819193808470648
DE,0.315829477672 (0.7354661961137855),0.0,2.6232882105971296,0.0,1.738190029382197,-0.163936072948 (0.6567300175777271),0.0,1.0581812953751613,0.0,1.794652651052915
DIS,nan (nan),0.0,1.8741225844890965,1.0,,nan (nan),0.0,1.689612719944892,1.0,
DOW,0.431331433547 (0.6974020662844689),0.0,2.1229451540858726,0.0,1.9164704447027257,-0.577013948668 (0.145615351886065),0.0,1.3383973858698892,0.0,1.7426541882290063
EBAY,-0.660850943478 (0.6410738572076244),0.0,2.259698419634205,0.0,2.0098213629535264,-0.662733219837 (0.46578391826952936),0.0,2.2496808594229476,0.0,2.08631981665457
EOG,nan (nan),0.0,1.7595050160206158,2.0,,nan (nan),1.0,1.9020486307698679,1.0,
